timestamp,Name,Type,Country Name,Country Code,is_holiday
2016-01-14,Makar Sankranti / Pongal,['Hinduism'],India,IN,1
2016-01-26,Republic Day,['National holiday'],India,IN,1
2016-02-14,Valentine's Day,['Observance'],India,IN,1
2016-03-07,Maha Shivaratri,['Hinduism'],India,IN,1
2016-03-23,Holi,"['National holiday', 'Hinduism']",India,IN,1
2016-04-15,Ram Navami,['Hinduism'],India,IN,1
2016-07-06,Eid al-Fitr,"['National holiday', 'Islam']",India,IN,1
2016-08-15,Independence Day,['National holiday'],India,IN,1
2016-08-18,Raksha Bandhan,['Hinduism'],India,IN,1
2016-08-25,Janmashtami,['Hinduism'],India,IN,1
2016-09-05,Ganesh Chaturthi,['Hinduism'],India,IN,1
2016-09-12,Eid al-Adha,"['National holiday', 'Islam']",India,IN,1
2016-09-14,Onam,['Hinduism'],India,IN,1
2016-10-01,Navratri Begins,['Hinduism'],India,IN,1
2016-10-02,Gandhi Jayanti,['National holiday'],India,IN,1
2016-10-11,Dussehra,"['National holiday', 'Hinduism']",India,IN,1
2016-10-30,Diwali,"['National holiday', 'Hinduism']",India,IN,1
2016-12-25,Christmas,"['National holiday', 'Christianity']",India,IN,1
2017-01-14,Makar Sankranti / Pongal,['Hinduism'],India,IN,1
2017-01-26,Republic Day,['National holiday'],India,IN,1
2017-02-14,Valentine's Day,['Observance'],India,IN,1
2017-02-24,Maha Shivaratri,['Hinduism'],India,IN,1
2017-03-13,Holi,"['National holiday', 'Hinduism']",India,IN,1
2017-04-05,Ram Navami,['Hinduism'],India,IN,1
2017-06-26,Eid al-Fitr,"['National holiday', 'Islam']",India,IN,1
2017-08-07,Raksha Bandhan,['Hinduism'],India,IN,1
2017-08-15,Independence Day,['National holiday'],India,IN,1
2017-08-25,Ganesh Chaturthi,['Hinduism'],India,IN,1
2017-09-02,Eid al-Adha,"['National holiday', 'Islam']",India,IN,1
2017-09-04,Onam,['Hinduism'],India,IN,1
2017-09-21,Navratri Begins,['Hinduism'],India,IN,1
2017-09-30,Dussehra,"['National holiday', 'Hinduism']",India,IN,1
2017-10-02,Gandhi Jayanti,['National holiday'],India,IN,1
2017-10-19,Diwali,"['National holiday', 'Hinduism']",India,IN,1
2017-12-25,Christmas,"['National holiday', 'Christianity']",India,IN,1
2018-01-14,Makar Sankranti / Pongal,['Hinduism'],India,IN,1
2018-01-26,Republic Day,['National holiday'],India,IN,1
2018-02-14,Valentine's Day,['Observance'],India,IN,1
2018-03-02,Holi,"['National holiday', 'Hinduism']",India,IN,1
2018-03-25,Ram Navami,['Hinduism'],India,IN,1
2018-06-16,Eid al-Fitr,"['National holiday', 'Islam']",India,IN,1
2018-08-15,Independence Day,['National holiday'],India,IN,1
2018-08-22,Eid al-Adha,"['National holiday', 'Islam']",India,IN,1
2018-08-25,Onam,['Hinduism'],India,IN,1
2018-08-26,Raksha Bandhan,['Hinduism'],India,IN,1
2018-09-03,Janmashtami,['Hinduism'],India,IN,1
2018-09-13,Ganesh Chaturthi,['Hinduism'],India,IN,1
2018-10-02,Gandhi Jayanti,['National holiday'],India,IN,1
2018-10-10,Navratri Begins,['Hinduism'],India,IN,1
2018-10-19,Dussehra,"['National holiday', 'Hinduism']",India,IN,1
2018-11-07,Diwali,"['National holiday', 'Hinduism']",India,IN,1
2018-12-25,Christmas,"['National holiday', 'Christianity']",India,IN,1
2019-01-15,Makar Sankranti / Pongal,['Hinduism'],India,IN,1
2019-01-26,Republic Day,['National holiday'],India,IN,1
2019-02-14,Valentine's Day,['Observance'],India,IN,1
2019-03-04,Maha Shivaratri,['Hinduism'],India,IN,1
2019-03-21,Holi,"['National holiday', 'Hinduism']",India,IN,1
2019-04-14,Ram Navami,['Hinduism'],India,IN,1
2019-06-05,Eid al-Fitr,"['National holiday', 'Islam']",India,IN,1
2019-08-12,Eid al-Adha,"['National holiday', 'Islam']",India,IN,1
2019-08-15,Independence Day,['National holiday'],India,IN,1
2019-08-24,Janmashtami,['Hinduism'],India,IN,1
2019-09-02,Ganesh Chaturthi,['Hinduism'],India,IN,1
2019-09-11,Onam,['Hinduism'],India,IN,1
2019-09-29,Navratri Begins,['Hinduism'],India,IN,1
2019-10-02,Gandhi Jayanti,['National holiday'],India,IN,1
2019-10-08,Dussehra,"['National holiday', 'Hinduism']",India,IN,1
2019-10-27,Diwali,"['National holiday', 'Hinduism']",India,IN,1
2019-12-25,Christmas,"['National holiday', 'Christianity']",India,IN,1
2020-01-15,Makar Sankranti / Pongal,['Hinduism'],India,IN,1
2020-01-26,Republic Day,['National holiday'],India,IN,1
2020-02-14,Valentine's Day,['Observance'],India,IN,1
2020-02-21,Maha Shivaratri,['Hinduism'],India,IN,1
2020-03-09,Holi,"['National holiday', 'Hinduism']",India,IN,1
2020-04-02,Ram Navami,['Hinduism'],India,IN,1
2020-05-24,Eid al-Fitr,"['National holiday', 'Islam']",India,IN,1
2020-07-31,Eid al-Adha,"['National holiday', 'Islam']",India,IN,1
2020-08-03,Raksha Bandhan,['Hinduism'],India,IN,1
2020-08-11,Janmashtami,['Hinduism'],India,IN,1
2020-08-15,Independence Day,['National holiday'],India,IN,1
2020-08-22,Ganesh Chaturthi,['Hinduism'],India,IN,1
2020-08-31,Onam,['Hinduism'],India,IN,1
2020-10-02,Gandhi Jayanti,['National holiday'],India,IN,1
2020-10-17,Navratri Begins,['Hinduism'],India,IN,1
2020-10-25,Dussehra,"['National holiday', 'Hinduism']",India,IN,1
2020-11-14,Diwali,"['National holiday', 'Hinduism']",India,IN,1
2020-12-25,Christmas,"['National holiday', 'Christianity']",India,IN,1
2021-01-14,Makar Sankranti / Pongal,['Hinduism'],India,IN,1
2021-01-26,Republic Day,['National holiday'],India,IN,1
2021-02-14,Valentine's Day,['Observance'],India,IN,1
2021-03-11,Maha Shivaratri,['Hinduism'],India,IN,1
2021-03-29,Holi,"['National holiday', 'Hinduism']",India,IN,1
2021-04-21,Ram Navami,['Hinduism'],India,IN,1
2021-05-13,Eid al-Fitr,"['National holiday', 'Islam']",India,IN,1
2021-07-20,Eid al-Adha,"['National holiday', 'Islam']",India,IN,1
2021-08-15,Independence Day,['National holiday'],India,IN,1
2021-08-21,Onam,['Hinduism'],India,IN,1
2021-08-22,Raksha Bandhan,['Hinduism'],India,IN,1
2021-08-30,Janmashtami,['Hinduism'],India,IN,1
2021-09-10,Ganesh Chaturthi,['Hinduism'],India,IN,1
2021-10-02,Gandhi Jayanti,['National holiday'],India,IN,1
2021-10-07,Navratri Begins,['Hinduism'],India,IN,1
2021-10-15,Dussehra,"['National holiday', 'Hinduism']",India,IN,1
2021-11-04,Diwali,"['National holiday', 'Hinduism']",India,IN,1
2021-12-25,Christmas,"['National holiday', 'Christianity']",India,IN,1
2022-01-14,Makar Sankranti / Pongal,['Hinduism'],India,IN,1
2022-01-26,Republic Day,['National holiday'],India,IN,1
2022-02-14,Valentine's Day,['Observance'],India,IN,1
2022-03-01,Maha Shivaratri,['Hinduism'],India,IN,1
2022-03-18,Holi,"['National holiday', 'Hinduism']",India,IN,1
2022-04-10,Ram Navami,['Hinduism'],India,IN,1
2022-05-03,Eid al-Fitr,"['National holiday', 'Islam']",India,IN,1
2022-07-10,Eid al-Adha,"['National holiday', 'Islam']",India,IN,1
2022-08-11,Raksha Bandhan,['Hinduism'],India,IN,1
2022-08-15,Independence Day,['National holiday'],India,IN,1
2022-08-19,Janmashtami,['Hinduism'],India,IN,1
2022-08-31,Ganesh Chaturthi,['Hinduism'],India,IN,1
2022-09-08,Onam,['Hinduism'],India,IN,1
2022-09-26,Navratri Begins,['Hinduism'],India,IN,1
2022-10-02,Gandhi Jayanti,['National holiday'],India,IN,1
2022-10-05,Dussehra,"['National holiday', 'Hinduism']",India,IN,1
2022-10-24,Diwali,"['National holiday', 'Hinduism']",India,IN,1
2022-12-25,Christmas,"['National holiday', 'Christianity']",India,IN,1
2023-01-15,Makar Sankranti / Pongal,['Hinduism'],India,IN,1
2023-01-26,Republic Day,['National holiday'],India,IN,1
2023-02-14,Valentine's Day,['Observance'],India,IN,1
2023-02-18,Maha Shivaratri,['Hinduism'],India,IN,1
2023-03-08,Holi,"['National holiday', 'Hinduism']",India,IN,1
2023-03-30,Ram Navami,['Hinduism'],India,IN,1
2023-04-22,Eid al-Fitr,"['National holiday', 'Islam']",India,IN,1
2023-06-29,Eid al-Adha,"['National holiday', 'Islam']",India,IN,1
2023-08-15,Independence Day,['National holiday'],India,IN,1
2023-08-29,Onam,['Hinduism'],India,IN,1
2023-08-30,Raksha Bandhan,['Hinduism'],India,IN,1
2023-09-07,Janmashtami,['Hinduism'],India,IN,1
2023-09-19,Ganesh Chaturthi,['Hinduism'],India,IN,1
2023-10-02,Gandhi Jayanti,['National holiday'],India,IN,1
2023-10-15,Navratri Begins,['Hinduism'],India,IN,1
2023-10-24,Dussehra,"['National holiday', 'Hinduism']",India,IN,1
2023-11-12,Diwali,"['National holiday', 'Hinduism']",India,IN,1
2023-12-25,Christmas,"['National holiday', 'Christianity']",India,IN,1
2024-01-15,Makar Sankranti / Pongal,['Hinduism'],India,IN,1
2024-01-26,Republic Day,['National holiday'],India,IN,1
2024-02-14,Valentine's Day,['Observance'],India,IN,1
2024-03-08,Maha Shivaratri,['Hinduism'],India,IN,1
2024-03-25,Holi,"['National holiday', 'Hinduism']",India,IN,1
2024-04-10,Eid al-Fitr,"['National holiday', 'Islam']",India,IN,1
2024-04-17,Ram Navami,['Hinduism'],India,IN,1
2024-06-17,Eid al-Adha,"['National holiday', 'Islam']",India,IN,1
2024-08-15,Independence Day,['National holiday'],India,IN,1
2024-08-19,Raksha Bandhan,['Hinduism'],India,IN,1
2024-08-26,Janmashtami,['Hinduism'],India,IN,1
2024-09-07,Ganesh Chaturthi,['Hinduism'],India,IN,1
2024-09-15,Onam,['Hinduism'],India,IN,1
2024-10-02,Gandhi Jayanti,['National holiday'],India,IN,1
2024-10-03,Navratri Begins,['Hinduism'],India,IN,1
2024-10-12,Dussehra,"['National holiday', 'Hinduism']",India,IN,1
2024-11-01,Diwali,"['National holiday', 'Hinduism']",India,IN,1
2024-12-25,Christmas,"['National holiday', 'Christianity']",India,IN,1
